"1","345"
"11","2063"
"12","2642"
"14","6356"
"16","9338"
"18","9187"
"19","1067"
"22","1266"
"25","9379"
"29","1476"
"30","3297"
"31","9248"
"36","9909"
"42","425"
"43","4"
"44","3909"
"45","5392"
"47","8404"
"48","2867"
"49","9309"
"50","1225"
"57","6510"
"58","3154"
"59","3551"
"60","9837"
"62","3949"
"64","2786"
"65","8468"
"66","695"
"67","9884"
"68","7968"
"69","681"
"73","707"
"76","2948"
"79","5539"
"80","1456"
"84","8089"
"85","2039"
"86","5934"
"89","679"
"90","7400"
"91","9275"
"92","5389"
"93","5446"
"95","6884"
"96","1945"
"97","3685"
"99","6027"
"101","3127"
"102","9388"
"103","4184"
"107","3204"
"109","8020"
"114","3865"
"115","7976"
"116","1297"
"119","8485"
"120","3828"
"121","3780"
"124","8883"
"125","5641"
"126","1656"
"128","2585"
"130","4264"
"132","9839"
"134","5224"
"135","9061"
"137","7446"
"144","8982"
"145","9144"
"146","3538"
"148","6670"
"149","3984"
"150","4779"
"151","6757"
"153","4896"
"155","2819"
"157","7340"
"158","9066"
"159","8400"
"161","5924"
"168","6016"
"169","9165"
"171","3579"
"172","6110"
"173","8680"
"177","6592"
"178","5863"
"179","709"
"186","5231"
"191","1242"
"194","7278"
"197","8637"
"198","9509"
"201","4068"
"202","5520"
"203","5567"
"206","9470"
"212","6009"
"213","129"
"214","2104"
"217","9150"
"222","1776"
"225","3011"
"226","8440"
"231","643"
"232","728"
"236","8728"
"237","6153"
"238","1618"
"239","3363"
"243","9086"
"244","6015"
"246","1115"
"249","4777"
"251","921"
"253","5871"
"254","1512"
"258","7147"
"261","5492"
"262","5916"
"264","8987"
"265","9516"
"268","6538"
"269","7841"
"270","491"
"273","5668"
"276","5457"
"280","2188"
"282","9880"
"284","9638"
"286","5500"
"287","8870"
"289","4578"
"290","9384"
"291","5559"
"293","3259"
"300","5668"
"301","222"
"302","9540"
"304","6448"
"305","9600"
"308","7424"
"309","6"
"311","3527"
"312","8129"
"313","851"
"314","1472"
"315","8248"
"319","3471"
"321","7870"
"324","4905"
"330","7972"
"331","7943"
"336","5440"
"341","5286"
"348","4470"
"349","9647"
