"0","14409","4"
"0","16652","8"
"0","178","6"
"0","6659","6"
"0","14188","6"
"0","4745","7"
"0","19121","5"
"0","12009","5"
"0","3813","7"
"1","10508","7"
"1","1390","8"
"1","1326","3"
"1","8175","9"
"2","9046","4"
"2","1039","6"
"2","8855","5"
"2","18911","8"
"2","16689","9"
"2","16013","5"
"2","1663","9"
"4","5254","6"
"4","5555","6"
"4","11543","1"
"4","14537","7"
"5","17006","8"
"5","11527","3"
"5","4753","7"
"5","18185","1"
"6","2535","6"
"6","10341","2"
"6","14550","9"
"6","5701","4"
"6","9510","3"
"6","15991","1"
"6","18306","6"
"7","1758","5"
"7","18706","1"
"7","17769","8"
"7","12670","6"
"8","2293","1"
"8","2616","3"
"9","17186","2"
"9","11581","4"
"9","17683","8"
"9","14439","8"
"9","14991","8"
"9","4319","8"
"9","14658","4"
"9","1537","3"
"10","7021","9"
"10","13638","5"
"10","15184","6"
"10","18277","7"
"11","9136","7"
"12","7534","1"
"12","16312","1"
"12","155","5"
"12","3224","9"
"12","3110","8"
"12","10387","6"
"12","9648","3"
"12","11113","2"
"12","12311","3"
"13","3645","6"
"13","5669","3"
"13","16328","6"
"13","16553","2"
"13","8208","4"
"13","1013","7"
"13","19110","5"
"13","15311","8"
"15","3686","3"
"15","3315","7"
"15","4465","8"
"15","19481","8"
"15","5401","3"
"15","7921","1"
"15","12913","1"
"15","6880","2"
"17","6124","7"
"17","15752","7"
"17","12101","7"
"17","4275","1"
"17","12219","4"
"17","8267","6"
"17","11522","8"
"18","16623","7"
"21","13284","4"
"21","17053","2"
"21","7300","6"
"21","15420","2"
"21","1969","6"
"21","9200","1"
"21","7213","2"
"22","15788","1"
"22","3753","5"
"22","17306","7"
"22","10615","3"
"22","13605","7"
"22","15030","6"
"22","7696","1"
"23","8456","2"
"23","18064","8"
"23","19156","9"
"24","1553","2"
"24","11137","8"
"24","9824","7"
"24","8309","5"
"24","3339","1"
"24","14481","3"
"25","18473","7"
"25","9552","9"
"25","19355","6"
"26","18508","3"
"26","17973","2"
"26","14210","5"
"26","5136","8"
"26","13507","4"
"26","11590","5"
"26","16132","5"
"26","17007","4"
"26","7106","5"
"27","19661","7"
"27","18370","8"
"28","4512","5"
"28","14161","6"
"28","6529","4"
"28","19998","3"
"28","12360","7"
"28","3736","9"
"28","4627","2"
"28","16198","8"
"28","8208","4"
"29","17235","5"
"29","15998","9"
"29","12711","8"
"29","6584","8"
"29","12359","2"
"29","8316","2"
"29","8502","7"
"29","930","7"
"29","4411","5"
"30","4202","2"
"31","11856","7"
"31","3395","7"
"31","12524","2"
"31","8591","3"
"32","8231","2"
"32","16789","2"
"32","4938","7"
"32","15806","1"
"32","9547","8"
"32","9631","1"
"32","19843","6"
"33","2973","5"
"33","9202","6"
"33","7588","6"
"33","1360","6"
"33","18374","5"
"34","18729","1"
"34","4536","3"
"34","11213","2"
"34","14409","1"
"34","10793","3"
"34","11396","1"
"34","11969","1"
"34","12911","3"
"34","18163","6"
"35","11268","5"
"35","11666","6"
"35","16557","8"
"35","10595","6"
"35","17218","5"
"35","7431","3"
"35","13358","3"
"35","6116","1"
"35","6319","5"
"36","8738","5"
"36","12772","2"
"36","9347","4"
"36","3233","2"
"36","13603","3"
"37","11900","9"
"37","18351","2"
"37","15213","1"
"37","12726","6"
"37","11479","4"
"37","10788","9"
"37","18672","2"
"38","15192","7"
"38","4424","9"
"38","15648","6"
"38","11992","5"
"38","7115","4"
"38","2590","7"
"38","14165","7"
"39","4317","5"
"40","11717","1"
"41","962","9"
"42","14786","3"
"42","16599","9"
"42","4485","3"
"42","5191","5"
"42","7296","6"
"42","19067","5"
"43","13756","8"
"43","2834","3"
"43","10489","2"
"43","18634","2"
"43","17468","5"
"43","6465","9"
"43","19047","1"
"43","12419","3"
"43","4659","2"
"44","11254","6"
"44","13316","8"
"44","5856","1"
"45","5296","6"
"45","13084","7"
"45","676","3"
"45","1080","2"
"45","3955","4"
"45","19294","4"
"45","5743","6"
"45","10358","7"
"45","7302","4"
"46","18425","1"
"46","1122","4"
"46","4767","8"
"46","16043","1"
"46","18681","5"
"47","10654","3"
"47","2914","9"
"47","12436","2"
"47","18186","4"
"47","8132","8"
"47","7004","3"
